word_c,char_c,word,bpe,character,morfessor
12,84,85.6590576171875,86.81934404373169,84.37863612174988,83.92535400390625
8,50,57.62582874298096,55.28100872039795,64.08979511260986,47.98326873779297
4,31,16.4730224609375,60.239522218704224,58.69338059425354,44.22023820877075
16,135,136.79631805419922,133.9339349269867,123.38860297203064,164.0086817741394
19,137,152.6769461631775,184.09673380851746,154.35702419281006,162.29407358169556
14,87,93.99400997161865,94.09520387649536,89.88252401351929,81.15747880935669
10,71,73.66622257232666,84.78849339485168,85.40272116661072,81.53828525543213
27,202,209.03471755981445,265.0290107727051,214.57529139518738,237.52913761138916
29,201,209.4272861480713,172.1411681175232,180.0946352481842,170.89895486831665
18,114,133.35501956939697,164.39569973945618,152.76106977462769,158.20000648498535
18,149,149.4023413658142,225.6223156452179,191.1168601512909,177.51807260513306
12,71,83.33053588867188,81.39023780822754,71.63880896568298,73.43338251113892
19,159,159.2439670562744,169.20400881767273,158.19920873641968,164.37802839279175
16,108,104.2886962890625,134.78042888641357,129.49317383766174,123.7315583229065
13,66,77.50316524505615,94.21375679969788,82.09162211418152,80.87487602233887
15,84,90.95003271102905,109.5781364440918,96.15707468986511,107.6358528137207
13,101,84.84404134750366,138.942631483078,131.08571338653564,125.25789499282837
10,62,52.57446479797363,56.223002195358276,52.776654958724976,41.72455549240112
15,116,110.62213373184204,126.81362009048462,113.69865942001343,105.56632328033447
19,146,142.23231601715088,212.0370852947235,180.84731769561768,186.96815872192383
14,128,109.92751407623291,134.27310013771057,111.09079098701477,115.27321338653564
21,179,180.40202713012695,182.01573848724365,167.32867455482483,165.08729457855225
11,91,79.86276721954346,100.14680624008179,79.70614862442017,78.14675283432007
16,118,109.59013271331787,117.07236552238464,104.93229222297668,105.51417112350464
10,55,52.421000957489014,57.12306809425354,49.1735258102417,42.6121244430542
25,157,181.17938137054443,162.53009223937988,153.9372010231018,150.0332646369934
11,78,79.95504808425903,82.82865619659424,80.7120099067688,76.22089147567749
17,108,117.11250734329224,125.76689386367798,107.30184841156006,114.42723608016968
6,40,37.339378356933594,47.41533279418945,42.00684833526611,35.819997787475586
12,69,73.54458379745483,72.65262699127197,82.68971276283264,75.98919820785522
10,60,54.55475950241089,50.504364013671875,53.63897967338562,55.3435263633728
11,77,77.65887260437012,98.35018467903137,84.10578203201294,83.71718835830688
17,118,124.86380195617676,136.07568740844727,118.7459716796875,118.04924297332764
24,194,194.2481565475464,238.45973706245422,281.0530490875244,202.94196033477783
